PuzzleId,FEN,Moves,Rating,Themes
Wsvb6,r1bq1r2/pppp1Bk1/7p/6pQ/8/2N3P1/P1P3PP/b4RK1 b - - 1 15,a1c3 h5g6 g7h8 g6h6,1120,deflection mate mateIn2 middlegame short
mkbVY,5r2/pp5k/2b2p1b/4pP2/2BpPn2/6QR/PqP3PP/5R1K b - - 5 27,f4h3 g3g6 h7h8 g6h6,1121,deflection mate mateIn2 middlegame short
xQmLe,B3Rrk1/p2P2pp/1p3b2/2p5/8/P5P1/1PP2P1q/2KR4 b - - 0 26,h2f2 a8d5 g8h8 e8f8,1122,backRankMate deflection endgame mate mateIn2 short
BtH5u,6k1/1p3pp1/1N5p/1P2p1r1/5n2/5P2/8/3R1RK1 w - - 1 36,g1f2 g5g2 f2e1 g2e2,1124,endgame epauletteMate mate mateIn2 short
U6ENR,rn1qkbnr/ppp2p2/8/4p3/2B1P3/1Q5P/PP1P1K1P/1RB4R b kq - 0 15,g8f6 c4f7 e8d7 b3e6,1125,attackingF2F7 mate mateIn2 middlegame short
jQQmE,k7/1r6/p6p/5p2/q1pQ1Pp1/b1P1P1P1/1PR1R1P1/K7 w - - 7 48,b2a3 a4a3 c2a2 a3c1,1126,endgame mate mateIn2 short
2qT8I,r1b3kr/pp5q/3Npp2/1BP3p1/3Q2n1/P3PnN1/1P3PP1/R1BR2K1 w - - 4 22,g2f3 h7h2 g1f1 h2f2,1128,kingsideAttack mate mateIn2 middlegame short
RsYe6,5kr1/r1q2pbp/p2B4/2p2Q2/8/P6P/1PP3P1/4RRK1 b - - 0 24,c7d6 f5c8 d6d8 c8d8,1129,mate mateIn2 middlegame short
aP00N,3r4/p2Pr1p1/1p1R4/2p1p1k1/8/P5Kp/1P5P/3R4 b - - 1 41,e5e4 d1d5 e7e5 d5e5,1130,endgame mate mateIn2 rookEndgame short
qgdBE,2Q2R2/1r3p1k/5npp/8/1r1pp3/7P/5PPK/8 b - - 1 36,d4d3 f8h8 h7g7 c8f8,1131,endgame mate mateIn2 short triangleMate
vnoFC,6k1/1q2np1p/2n1p1pQ/p5N1/4P3/2p3P1/PP3PBP/6K1 b - - 1 26,c3b2 h6h7 g8f8 h7f7,1132,endgame mate mateIn2 short
1qPdm,5r1k/1p1R2p1/4Bq1p/p7/Pb4Q1/1P2PP2/6PP/6K1 w - - 3 30,d7b7 f6a1 g1f2 a1e1,1134,endgame mate mateIn2 short
7oRlV,r4rk1/1p6/3p3p/2p2bP1/2P2p2/1PP5/4QBP1/K1bR3R w - - 1 24,e2a2 a8a2 a1a2 f8a8,1135,attraction mate mateIn2 middlegame pillsburysMate short
Fl6NW,6R1/ppk2P2/2p2q1p/2P5/1P3n2/1R6/P4P1P/6K1 w - - 3 34,f7f8q f6a1 b3b1 a1b1,1136,endgame mate mateIn2 short
Gteag,8/6k1/R6p/6p1/4N1P1/3q1P2/P1r3BP/2R4K w - - 10 43,c1c2 d3d1 g2f1 d1f1,1137,endgame fork mate mateIn2 short
